id,r,w,l
0,100 1 1 1 100,10 1 1 1 1,0 0 0 0 0
1,10 50 50 50 50,1 5 5 5 5,0 0 0 0 0
2,20 80 80 80 80,1 5 5 5 5,0 0 0 0 0
3,20 100 100 100 100,1 5 5 5 5,0 0 0 0 0
4,30 80 80 80 80,1 5 5 5 5,0 0 0 0 0
5,30 100 100 100 100,1 5 5 5 5,0 0 0 0 0
6,200 50 50 50 50,1 5 5 5 5,0 0 0 0 0
7,200 60 60 60 60,1 5 5 5 5,0 0 0 0 0
8,150 50 50 50 50,1 5 5 5 5,0 0 0 0 0
9,150 50 50 50 50,1 5 5 5 5,0 0 0 0 0
10,150 60 60 60 60,1 5 5 5 5,0 0 0 0 0
11,10 50 50 50 50,5 1 1 1 1,0 0 0 0 0
12,20 80 80 80 80,5 1 1 1 1,0 0 0 0 0
13,20 100 100 100 100,5 1 1 1 1,0 0 0 0 0
14,30 80 80 80 80,5 1 1 1 1,0 0 0 0 0
15,30 100 100 100 100,5 1 1 1 1,0 0 0 0 0
16,200 50 50 50 50,5 1 1 1 1,0 0 0 0 0
17,200 60 60 60 60,5 1 1 1 1,0 0 0 0 0
18,150 50 50 50 50,5 1 1 1 1,0 0 0 0 0
19,150 50 50 50 50,5 1 1 1 1,0 0 0 0 0
20,150 60 60 60 60,5 1 1 1 1,0 0 0 0 0
